Name,Points,Status,Claim Points,Approve QA,Complete Doublecheck,Deny QA,Shift,Created by,Created time,People,QA,Person,Last edited time,Last edited by,Role Badge,Date,Google Tasks ID,Description,Completed By
Put Pies in Freezer,10,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 9:15 PM",,,,"March 30, 2025 8:08 PM",Riverside Admin,,"March 30, 2025 12:00 AM (MDT) → April 2, 2025 12:00 AM (MDT)",,,
Assemble 50 Pie,30,Awaiting Review,,,,,,Cameron Ely-Murdock,"March 1, 2025 9:55 PM",,,,"May 5, 2025 6:42 PM",Cameron Ely-Murdock,,,,,
Coordinate 250 Pie Assembly,50,Done,,,,,,Cameron Ely-Murdock,"March 1, 2025 9:55 PM",,,,"May 5, 2025 6:33 PM",Cameron Ely-Murdock,,,,,
Sweep Entry,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:30 PM",,,,"March 30, 2025 7:27 PM",Riverside Admin,,,,,
Sweep Loft,,Done,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:30 PM",,,,"May 5, 2025 6:33 PM",Cameron Ely-Murdock,,,,,
Sweep Cafe,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:31 PM",,,,"March 1, 2025 10:31 PM",Cameron Ely-Murdock,,,,,
Vaccuum Entry,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:31 PM",,,,"March 2, 2025 12:53 AM",Cameron Ely-Murdock,,,,,
Mop Loft,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:31 PM",,,,"March 1, 2025 10:31 PM",Cameron Ely-Murdock,,,,,
Mop Cafe,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:31 PM",,,,"March 1, 2025 10:32 PM",Cameron Ely-Murdock,,,,,
Sweep Hallway,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:32 PM",,,,"March 1, 2025 10:32 PM",Cameron Ely-Murdock,,,,,
Sweep Bathrooms,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:33 PM",,,,"March 1, 2025 10:33 PM",Cameron Ely-Murdock,,,,,
Mop Hallway,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:33 PM",,,,"March 1, 2025 10:33 PM",Cameron Ely-Murdock,,,,,
Mop Bathrooms,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:33 PM",,,,"March 1, 2025 10:33 PM",Cameron Ely-Murdock,,,,,
Clean Bathrooms,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:33 PM",,,,"March 1, 2025 10:33 PM",Cameron Ely-Murdock,,,,,
Wipe Down Cafe Bar,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:33 PM",,,,"March 1, 2025 10:33 PM",Cameron Ely-Murdock,,,,,
Organize Behind Cafe,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:33 PM",,,,"March 1, 2025 10:34 PM",Cameron Ely-Murdock,,,,,
Sweep Kitchen,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:34 PM",,,,"March 1, 2025 10:34 PM",Cameron Ely-Murdock,,,,,
Mop Kitchen,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:34 PM",,,,"March 1, 2025 10:34 PM",Cameron Ely-Murdock,,,,,
Wipe Down Kitchen,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:34 PM",,,,"March 1, 2025 10:34 PM",Cameron Ely-Murdock,,,,,
Wash Dishes,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:34 PM",,,,"March 1, 2025 10:34 PM",Cameron Ely-Murdock,,,,,
Take Out Compost,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:36 PM",,,,"March 1, 2025 10:36 PM",Cameron Ely-Murdock,,,,,
Take Out Trash,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:36 PM",,,,"March 1, 2025 10:36 PM",Cameron Ely-Murdock,,,,,
Clean Dish Traps,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:36 PM",,,,"March 1, 2025 10:36 PM",Cameron Ely-Murdock,,,,,
Clean Grease Trap,,Needed,,,,,,Cameron Ely-Murdock,"March 1, 2025 10:36 PM",,,,"March 1, 2025 10:36 PM",Cameron Ely-Murdock,,,,,
